store,name,product-link,price,image_url
Al-Fateh,PEPSI BOTTLE 345 ML,https://alfatah.pk/products/pepsi-bottle-345-ml,Rs.65,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_3_3c46af10-6ed1-4999-b2d7-7ddd783c89c6.jpg?v=1717650566
Al-Fateh,PEPSI BOTTLE 500 ML,https://alfatah.pk/products/pepsi-bottle-500-ml,Rs.90,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/pending_9.jpg?v=1722410238
Al-Fateh,PEPSI TIN SLIM LOCAL 250ML,https://alfatah.pk/products/pepsi-tin-slim-local-250ml,Rs.100,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000101476_27ebcdcf-7d7d-440c-b222-fbce41678331.jpg?v=1725967383
Al-Fateh,PEPSI BOTTLE 500 ML-CARTON,https://alfatah.pk/products/pepsi-bottle-500-ml-carton,"Rs.1,080",https://cdn.shopify.com/s/files/1/0777/0954/1664/files/12622264-0-A.webp?v=1747044478
Al-Fateh,PEPSI CSD ZERO 345 ML,https://alfatah.pk/products/pepsi-csd-zero-345-ml,Rs.45,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964002344079_7c5e4cdf-ea03-4199-862e-65b87be3e5df.jpg?v=1726643184
Al-Fateh,PEPSI BOTTLE 1.5 LTR,https://alfatah.pk/products/pepsi-bottle-1-5-ltr,Rs.165,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000116139_ef27f2ba-4131-46e9-b225-965a895f259b.jpg?v=1739431213
Al-Fateh,PEPSI JUMBO 2.25LTR,https://alfatah.pk/products/pepsi-jumbo-2-25ltr,Rs.220,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/012000800085_1_f2343926-85c4-4019-aa15-6c7a457db5ab.jpg?v=1709711516
Al-Fateh,PEPSI BOTTLE 1.5 LTR-CARTON,https://alfatah.pk/products/pepsi-bottle-1-5-ltr-carton,Rs.825,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/NewProject-2023-03-23T145704.040.png?v=1704746242
Al-Fateh,PEPSI JUMBO 2.25 LTR-CARTON,https://alfatah.pk/products/pepsi-jumbo-2-25ltr-carton,"Rs.1,100",https://cdn.shopify.com/s/files/1/0777/0954/1664/files/12622932-0-A.jpg?v=1690224024
Al-Fateh,PEPSI CAN SLIM LOCAL 250ML-CARTON,https://alfatah.pk/products/pepsi-tin-slim-local-250ml-carton,"Rs.1,200",https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_1_2a2a836c-83c5-498e-a1a0-0b02f1a427f4.jpg?v=1717650411
Al-Fateh,PEPSI 320 ML,https://alfatah.pk/products/pepsi-320-ml,Rs.465,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9556404001033_9b2aa04e-7ef7-46dd-b1fc-deb25a402fe6.jpg?v=1763469725
Al-Fateh,PEPSI BOTTLE 345 ML-CARTON,https://alfatah.pk/products/pepsi-bottle-345-ml-carton,Rs.780,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2023-03-23T150327.820.png?v=1742883150
Al-Fateh,PEPSI ZERO CAN 250 ML,https://alfatah.pk/products/pepsi-zero-can-250-ml,Rs.100,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/8964002344062_1.jpg?v=1710762834
Al-Fateh,PEPSI ZERO SUGAR LIME 330 ML,https://alfatah.pk/products/pepsi-zero-sugar-lime-330-ml,Rs.535,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/012000052903_7c943223-5521-4143-a6ff-b63e7bd159cd.jpg?v=1763469624
Al-Fateh,PEPSI ZERO SUGAR BOTTLE 1.5 LTR,https://alfatah.pk/products/pepsi-zero-sugar-bottle-1-5-ltr,Rs.130,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964002344116_a62f9e9a-81cf-497d-aeef-eb03273b9b26.jpg?v=1726643188
Metro,Pepsi 345ML x12,https://www.metro-online.pk/detail/beverages/soft-drinks/pepsi-345ml-x12-/12621559,Rs. 690,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621559-0-M.jpg&w=3840&q=75
Metro,Pepsi 500 ML x12,https://www.metro-online.pk/detail/beverages/soft-drinks/pepsi-500-ml-x12/12622264,Rs. 930,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622264-0-M.jpg&w=3840&q=75
Metro,Pepsi 2.25L x6,https://www.metro-online.pk/detail/beverages/soft-drinks/pepsi-2.25l-x6-/12622932,"Rs. 1,200",https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622932-0-M.jpg&w=3840&q=75
Metro,Pepsi 1.5L x6,https://www.metro-online.pk/detail/beverages/soft-drinks/pepsi-1.5l-x6-/12627084,Rs. 860,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12627084-0-M.jpg&w=3840&q=75
Metro,Pepsi 1L x6,https://www.metro-online.pk/detail/beverages/soft-drinks/pepsi-1l-x6-/12634532,Rs. 720,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1707121556594.jpg&w=3840&q=75
Metro,Pepsi 500ML,https://www.metro-online.pk/detail/beverages/soft-drinks/pepsi-500ml/40633847,Rs. 80,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F331623.jpeg&w=3840&q=75
Metro,Pepsi 345ML,https://www.metro-online.pk/detail/beverages/soft-drinks/pepsi-345ml/40633845,Rs. 60,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F331622.jpeg&w=3840&q=75
Metro,Pepsi 1.5L,https://www.metro-online.pk/detail/beverages/soft-drinks/pepsi-1.5l/40633842,Rs. 145,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F331620.jpeg&w=3840&q=75
Jalal Sons,Pepsi 500ML(500 Ml),https://jalalsons.com.pk/product/pepsi-500ml-177285,Rs 88,https://static.tossdown.com/images/9e640801-278e-4388-ae9c-f15166baae32.webp
Jalal Sons,Pepsi Bottle 345ML(345 Ml),https://jalalsons.com.pk/product/pepsi-bottle-345ml-177287,Rs 64,https://static.tossdown.com/images/61a4fbb2-de13-49fa-9074-4914ea2545f9.webp
Jalal Sons,Pepsi Diet Tin 250ML(250 Ml),https://jalalsons.com.pk/product/pepsi-diet-tin-250ml-177289,Rs 99,https://static.tossdown.com/images/4a596ba1-60d4-4bb8-8922-0934fdda6bd7.webp
Jalal Sons,Pepsi Imp Tin 150ML,https://jalalsons.com.pk/product/pepsi-imp-tin-150ml-220439,Rs 298,https://static.tossdown.com/images/e8255910-81a5-4cdc-ac05-6ed0f2e597ea.webp
Jalal Sons,Pepsi Tin 250ML(250 Ml),https://jalalsons.com.pk/product/pepsi-tin-250ml-177291,Rs 99,https://static.tossdown.com/images/bef5727a-5dea-47bc-96f6-2c22455a1dab.webp
Jalal Sons,Pepsi 1.5L(1.5 L),https://jalalsons.com.pk/product/pepsi-1-5l-177283,Rs 154,https://static.tossdown.com/images/ede03154-80f1-49d9-9e3f-6545a336a93a.webp
Imtiaz,Pepsi Drink Can Local 250ml,https://shop.imtiaz.com.pk/product/product-item-363703,Rs. 85.00,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000019.jpg&w=3840&q=90
Imtiaz,Pepsi Drink NR 345ml,https://shop.imtiaz.com.pk/product/product-item-363708,Rs. 65.00,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000024.jpg&w=3840&q=90
Imtiaz,Pepsi Drink PET 1Ltr,https://shop.imtiaz.com.pk/product/product-item-363687,Rs. 145.00,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000013.jpg&w=3840&q=90
Imtiaz,Pepsi Drink NR 500ml,https://shop.imtiaz.com.pk/product/product-item-363701,Rs. 92.00,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000006.jpg&w=3840&q=90
Imtiaz,Pepsi Drink 1500ml,https://shop.imtiaz.com.pk/product/product-item-363696,Rs. 185.00,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000021.jpg&w=3840&q=90
